Sample:float;Data:float
"12800.0";"1565.0"
"12801.0";"1584.0"
"12802.0";"1649.0"
"12803.0";"1654.0"
"12804.0";"1649.0"
"12805.0";"1650.0"
"12806.0";"1672.0"
"12807.0";"1698.0"
"12808.0";"1720.0"
"12809.0";"1790.0"
"12810.0";"1787.0"
"12811.0";"1745.0"
"12812.0";"1849.0"
"12813.0";"1853.0"
"12814.0";"1862.0"
"12815.0";"1887.0"
"12816.0";"1897.0"
"12817.0";"1902.0"
"12818.0";"1968.0"
"12819.0";"1985.0"
"12820.0";"1972.0"
"12821.0";"1985.0"
"12822.0";"2030.0"
"12823.0";"2048.0"
"12824.0";"2089.0"
"12825.0";"2085.0"
"12826.0";"2091.0"
"12827.0";"2097.0"
"12828.0";"2160.0"
"12829.0";"2171.0"
"12830.0";"2136.0"
"12831.0";"2151.0"
"12832.0";"2237.0"
"12833.0";"2282.0"
"12834.0";"2295.0"
"12835.0";"2324.0"
"12836.0";"2305.0"
"12837.0";"2330.0"
"12838.0";"2318.0"
"12839.0";"2348.0"
"12840.0";"2360.0"
"12841.0";"2419.0"
"12842.0";"2412.0"
"12843.0";"2459.0"
"12844.0";"2450.0"
"12845.0";"2486.0"
"12846.0";"2475.0"
"12847.0";"2486.0"
"12848.0";"2497.0"
"12849.0";"2503.0"
"12850.0";"2580.0"
"12851.0";"2614.0"
"12852.0";"2629.0"
"12853.0";"2604.0"
"12854.0";"2605.0"
"12855.0";"2632.0"
"12856.0";"2665.0"
"12857.0";"2657.0"
"12858.0";"2668.0"
"12859.0";"2700.0"
"12860.0";"2712.0"
"12861.0";"2734.0"
"12862.0";"2753.0"
"12863.0";"2773.0"
"12864.0";"2760.0"
"12865.0";"2797.0"
"12866.0";"2755.0"
"12867.0";"2711.0"
"12868.0";"2717.0"
"12869.0";"2759.0"
"12870.0";"2820.0"
"12871.0";"2814.0"
"12872.0";"2793.0"
"12873.0";"2787.0"
"12874.0";"2783.0"
"12875.0";"2777.0"
"12876.0";"2792.0"
"12877.0";"2804.0"
"12878.0";"2791.0"
"12879.0";"2812.0"
"12880.0";"2865.0"
"12881.0";"2853.0"
"12882.0";"2848.0"
"12883.0";"2821.0"
"12884.0";"2813.0"
"12885.0";"2813.0"
"12886.0";"2834.0"
"12887.0";"2871.0"
"12888.0";"2865.0"
"12889.0";"2810.0"
"12890.0";"2792.0"
"12891.0";"2837.0"
"12892.0";"2831.0"
"12893.0";"2831.0"
"12894.0";"2813.0"
"12895.0";"2788.0"
"12896.0";"2754.0"
"12897.0";"2786.0"
"12898.0";"2800.0"
"12899.0";"2807.0"
"12900.0";"2806.0"
"12901.0";"2798.0"
"12902.0";"2745.0"
"12903.0";"2732.0"
"12904.0";"2740.0"
"12905.0";"2751.0"
"12906.0";"2749.0"
"12907.0";"2728.0"
"12908.0";"2725.0"
"12909.0";"2736.0"
"12910.0";"2722.0"
"12911.0";"2698.0"
"12912.0";"2712.0"
"12913.0";"2673.0"
"12914.0";"2679.0"
"12915.0";"2680.0"
"12916.0";"2579.0"
"12917.0";"2585.0"
"12918.0";"2594.0"
"12919.0";"2567.0"
"12920.0";"2515.0"
"12921.0";"2509.0"
"12922.0";"2486.0"
"12923.0";"2474.0"
"12924.0";"2484.0"
"12925.0";"2483.0"
"12926.0";"2484.0"
"12927.0";"2481.0"
"12928.0";"2474.0"
"12929.0";"2458.0"
"12930.0";"2453.0"
"12931.0";"2403.0"
"12932.0";"2389.0"
"12933.0";"2394.0"
"12934.0";"2339.0"
"12935.0";"2291.0"
"12936.0";"2299.0"
"12937.0";"2300.0"
"12938.0";"2311.0"
"12939.0";"2277.0"
"12940.0";"2208.0"
"12941.0";"2206.0"
"12942.0";"2185.0"
"12943.0";"2147.0"
"12944.0";"2112.0"
"12945.0";"2088.0"
"12946.0";"2056.0"
"12947.0";"1975.0"
"12948.0";"1962.0"
"12949.0";"1939.0"
"12950.0";"1936.0"
"12951.0";"1968.0"
"12952.0";"1957.0"
"12953.0";"1909.0"
"12954.0";"1940.0"
"12955.0";"1907.0"
"12956.0";"1880.0"
"12957.0";"1850.0"
"12958.0";"1847.0"
"12959.0";"1782.0"
"12960.0";"1766.0"
"12961.0";"1763.0"
"12962.0";"1775.0"
"12963.0";"1767.0"
"12964.0";"1768.0"
"12965.0";"1800.0"
"12966.0";"1771.0"
"12967.0";"1693.0"
"12968.0";"1647.0"
"12969.0";"1633.0"
"12970.0";"1597.0"
"12971.0";"1593.0"
"12972.0";"1576.0"
"12973.0";"1590.0"
"12974.0";"1569.0"
"12975.0";"1507.0"
"12976.0";"1505.0"
"12977.0";"1498.0"
"12978.0";"1523.0"
"12979.0";"1514.0"
"12980.0";"1491.0"
"12981.0";"1462.0"
"12982.0";"1395.0"
"12983.0";"1378.0"
"12984.0";"1375.0"
"12985.0";"1367.0"
"12986.0";"1383.0"
"12987.0";"1375.0"
"12988.0";"1376.0"
