Sample:float;Data:float
"8192.0";"2021.0"
"8193.0";"2019.0"
"8194.0";"2021.0"
"8195.0";"2023.0"
"8196.0";"2023.0"
"8197.0";"2022.0"
"8198.0";"2024.0"
"8199.0";"2024.0"
"8200.0";"2026.0"
"8201.0";"2025.0"
"8202.0";"2025.0"
"8203.0";"2027.0"
"8204.0";"2027.0"
"8205.0";"2028.0"
"8206.0";"2028.0"
"8207.0";"2028.0"
"8208.0";"2029.0"
"8209.0";"2029.0"
"8210.0";"2030.0"
"8211.0";"2031.0"
"8212.0";"2032.0"
"8213.0";"2035.0"
"8214.0";"2037.0"
"8215.0";"2040.0"
"8216.0";"2043.0"
"8217.0";"2046.0"
"8218.0";"2046.0"
"8219.0";"2046.0"
"8220.0";"2045.0"
"8221.0";"2045.0"
"8222.0";"2046.0"
"8223.0";"2046.0"
"8224.0";"2045.0"
"8225.0";"2046.0"
"8226.0";"2045.0"
"8227.0";"2046.0"
"8228.0";"2047.0"
"8229.0";"2046.0"
"8230.0";"2046.0"
"8231.0";"2047.0"
"8232.0";"2046.0"
"8233.0";"2045.0"
"8234.0";"2045.0"
"8235.0";"2045.0"
"8236.0";"2046.0"
"8237.0";"2046.0"
"8238.0";"2046.0"
"8239.0";"2047.0"
"8240.0";"2046.0"
"8241.0";"2046.0"
"8242.0";"2046.0"
"8243.0";"2046.0"
"8244.0";"2046.0"
"8245.0";"2046.0"
"8246.0";"2045.0"
"8247.0";"2045.0"
"8248.0";"2046.0"
"8249.0";"2046.0"
"8250.0";"2047.0"
"8251.0";"2045.0"
"8252.0";"2046.0"
"8253.0";"2045.0"
"8254.0";"2047.0"
"8255.0";"2045.0"
"8256.0";"2046.0"
"8257.0";"2045.0"
"8258.0";"2047.0"
"8259.0";"2048.0"
"8260.0";"2046.0"
"8261.0";"2046.0"
"8262.0";"2046.0"
"8263.0";"2046.0"
"8264.0";"2047.0"
"8265.0";"2044.0"
"8266.0";"2046.0"
"8267.0";"2045.0"
"8268.0";"2047.0"
"8269.0";"2048.0"
"8270.0";"2047.0"
"8271.0";"2047.0"
"8272.0";"2046.0"
"8273.0";"2048.0"
"8274.0";"2046.0"
"8275.0";"2047.0"
"8276.0";"2047.0"
"8277.0";"2046.0"
"8278.0";"2047.0"
"8279.0";"2046.0"
"8280.0";"2046.0"
"8281.0";"2045.0"
"8282.0";"2046.0"
"8283.0";"2046.0"
"8284.0";"2046.0"
"8285.0";"2046.0"
"8286.0";"2046.0"
"8287.0";"2046.0"
"8288.0";"2046.0"
"8289.0";"2046.0"
"8290.0";"2046.0"
"8291.0";"2046.0"
"8292.0";"2045.0"
"8293.0";"2047.0"
"8294.0";"2046.0"
"8295.0";"2046.0"
"8296.0";"2054.0"
"8297.0";"2081.0"
"8298.0";"2107.0"
"8299.0";"2127.0"
"8300.0";"2141.0"
"8301.0";"2149.0"
"8302.0";"2155.0"
"8303.0";"2158.0"
"8304.0";"2158.0"
"8305.0";"2157.0"
"8306.0";"2154.0"
"8307.0";"2149.0"
"8308.0";"2143.0"
"8309.0";"2138.0"
"8310.0";"2130.0"
"8311.0";"2122.0"
"8312.0";"2115.0"
"8313.0";"2103.0"
"8314.0";"2094.0"
"8315.0";"2087.0"
"8316.0";"2082.0"
"8317.0";"2077.0"
"8318.0";"2075.0"
"8319.0";"2073.0"
"8320.0";"2072.0"
"8321.0";"2071.0"
"8322.0";"2069.0"
"8323.0";"2070.0"
"8324.0";"2069.0"
"8325.0";"2068.0"
"8326.0";"2068.0"
"8327.0";"2067.0"
"8328.0";"2067.0"
"8329.0";"2066.0"
"8330.0";"2066.0"
"8331.0";"2065.0"
"8332.0";"2064.0"
"8333.0";"2065.0"
"8334.0";"2063.0"
"8335.0";"2063.0"
"8336.0";"2063.0"
"8337.0";"2063.0"
"8338.0";"2063.0"
"8339.0";"2060.0"
"8340.0";"2058.0"
"8341.0";"2058.0"
"8342.0";"2056.0"
"8343.0";"2051.0"
"8344.0";"2047.0"
"8345.0";"2047.0"
"8346.0";"2046.0"
"8347.0";"2047.0"
"8348.0";"2046.0"
"8349.0";"2046.0"
"8350.0";"2047.0"
"8351.0";"2046.0"
"8352.0";"2047.0"
"8353.0";"2047.0"
"8354.0";"2047.0"
"8355.0";"2047.0"
"8356.0";"2047.0"
"8357.0";"2046.0"
"8358.0";"2047.0"
"8359.0";"2046.0"
"8360.0";"2046.0"
"8361.0";"2045.0"
"8362.0";"2045.0"
"8363.0";"2047.0"
"8364.0";"2046.0"
"8365.0";"2046.0"
"8366.0";"2046.0"
"8367.0";"2046.0"
"8368.0";"2046.0"
"8369.0";"2046.0"
"8370.0";"2046.0"
"8371.0";"2046.0"
"8372.0";"2046.0"
"8373.0";"2047.0"
"8374.0";"2046.0"
