Sample:float;Data:float
"12544.0";"1573.0"
"12545.0";"1569.0"
"12546.0";"1561.0"
"12547.0";"1554.0"
"12548.0";"1544.0"
"12549.0";"1542.0"
"12550.0";"1537.0"
"12551.0";"1525.0"
"12552.0";"1516.0"
"12553.0";"1510.0"
"12554.0";"1509.0"
"12555.0";"1504.0"
"12556.0";"1500.0"
"12557.0";"1494.0"
"12558.0";"1491.0"
"12559.0";"1489.0"
"12560.0";"1482.0"
"12561.0";"1482.0"
"12562.0";"1478.0"
"12563.0";"1480.0"
"12564.0";"1482.0"
"12565.0";"1484.0"
"12566.0";"1484.0"
"12567.0";"1488.0"
"12568.0";"1494.0"
"12569.0";"1499.0"
"12570.0";"1502.0"
"12571.0";"1509.0"
"12572.0";"1516.0"
"12573.0";"1523.0"
"12574.0";"1532.0"
"12575.0";"1542.0"
"12576.0";"1548.0"
"12577.0";"1558.0"
"12578.0";"1564.0"
"12579.0";"1572.0"
"12580.0";"1580.0"
"12581.0";"1586.0"
"12582.0";"1593.0"
"12583.0";"1603.0"
"12584.0";"1604.0"
"12585.0";"1613.0"
"12586.0";"1624.0"
"12587.0";"1629.0"
"12588.0";"1639.0"
"12589.0";"1646.0"
"12590.0";"1654.0"
"12591.0";"1660.0"
"12592.0";"1668.0"
"12593.0";"1675.0"
"12594.0";"1680.0"
"12595.0";"1688.0"
"12596.0";"1695.0"
"12597.0";"1701.0"
"12598.0";"1710.0"
"12599.0";"1714.0"
"12600.0";"1721.0"
"12601.0";"1728.0"
"12602.0";"1743.0"
"12603.0";"1749.0"
"12604.0";"1760.0"
"12605.0";"1774.0"
"12606.0";"1788.0"
"12607.0";"1795.0"
"12608.0";"1813.0"
"12609.0";"1827.0"
"12610.0";"1842.0"
"12611.0";"1850.0"
"12612.0";"1865.0"
"12613.0";"1885.0"
"12614.0";"1892.0"
"12615.0";"1905.0"
"12616.0";"1918.0"
"12617.0";"1931.0"
"12618.0";"1947.0"
"12619.0";"1961.0"
"12620.0";"1979.0"
"12621.0";"1990.0"
"12622.0";"2013.0"
"12623.0";"2023.0"
"12624.0";"2041.0"
"12625.0";"2054.0"
"12626.0";"2066.0"
"12627.0";"2084.0"
"12628.0";"2102.0"
"12629.0";"2115.0"
"12630.0";"2129.0"
"12631.0";"2141.0"
